phenotype,accuracy,f1_score
(((conv*1)pool-dropout)*1)fc*1*64*lr-0.01,0.41353535652160645,0.23413525521755219
(((conv*2)pool-)*2)fc*1*256*lr-0.01,0.09939393897851308,0.0
(((conv*2)bnorm-pool-dropout)*2)fc*0*128*lr-0.001,0.8185858527819315,0.8263736367225647
(((conv*1)bnorm-)*3)fc*0*256*lr-0.001,0.6001010139783224,0.611094057559967
(((conv*2)pool-dropout)*3)fc*1*512*lr-0.1,0.09838384141524632,0.0
(((conv*3))*1)fc*2*64*lr-0.0001,0.641616145769755,0.6303820013999939
(((conv*3)pool-dropout)*2)fc*1*64*lr-0.1,0.09505050629377365,0.0
(((conv*2)bnorm-)*1)fc*1*256*lr-0.01,0.09646464884281158,0.0
(((conv*1)pool-)*1)fc*0*256*lr-0.1,0.09575757632652919,0.0
(((conv*1)pool-)*2)fc*2*128*lr-0.01,0.10151515404383342,0.0
(((conv*1))*2)fc*1*256*lr-0.0001,0.6469696958859762,0.6390293836593628
(((conv*2)bnorm-pool-dropout)*2)fc*2*64*lr-0.0001,0.8008080919583639,0.8039254546165466
(((conv*1)bnorm-)*2)fc*0*512*lr-0.001,0.5717171629269918,0.5777767896652222
(((conv*1))*3)fc*2*128*lr-0.0001,0.6345454454421997,0.6330889463424683
(((conv*3)pool-dropout)*2)fc*1*256*lr-0.001,0.8190909028053284,0.8259981870651245
(((conv*3)pool-dropout)*2)fc*1*512*lr-0.001,0.8150505026181539,0.8207182288169861
(((conv*1)pool-dropout)*3)fc*2*256*lr-0.001,0.7847475012143453,0.7917114496231079
(((conv*2)pool-dropout)*1)fc*1*64*lr-0.1,0.09575757384300232,0.0
(((conv*1)bnorm-)*3)fc*1*512*lr-0.01,0.09929293145736058,0.0
(((conv*3)pool-)*1)fc*0*256*lr-0.0001,0.6780808170636495,0.67751544713974
(((conv*2))*3)fc*0*256*lr-0.1,0.09646464884281158,0.0
(((conv*2)bnorm-pool-)*3)fc*1*256*lr-0.1,0.09575757632652919,0.0
(((conv*3)pool-dropout)*2)fc*2*512*lr-0.1,0.09696969638268153,0.0
(((conv*3)pool-)*2)fc*0*128*lr-0.1,0.09444444626569748,0.0
(((conv*2)bnorm-pool-)*2)fc*0*256*lr-0.0001,0.6753535469373068,0.6674191355705261
(((conv*2)bnorm-)*2)fc*2*128*lr-0.1,0.10595959673325221,0.0
(((conv*1)bnorm-)*2)fc*1*128*lr-0.01,0.5060605903466543,0.5365030765533447
(((conv*3))*1)fc*0*64*lr-0.01,0.43090909719467163,0.3531039357185364
(((conv*1)pool-)*1)fc*0*256*lr-0.0001,0.6418181657791138,0.6332430243492126
(((conv*3)bnorm-pool-dropout)*2)fc*2*64*lr-0.01,0.740202009677887,0.691987156867981
(((conv*1)bnorm-pool-dropout)*3)fc*1*64*lr-0.0001,0.7486868699391683,0.7565456032752991
(((conv*2)pool-dropout)*3)fc*2*64*lr-0.001,0.8232323129971822,0.8303405046463013
(((conv*3)pool-dropout)*3)fc*1*64*lr-0.0001,0.8222222129503886,0.8260494470596313
(((conv*1)bnorm-)*3)fc*1*128*lr-0.1,0.10151515404383342,0.0
(((conv*1)bnorm-pool-)*1)fc*1*256*lr-0.001,0.625959595044454,0.6172742247581482
(((conv*3)pool-dropout)*3)fc*1*64*lr-0.01,0.0977777789036433,0.0
(((conv*3))*2)fc*1*128*lr-0.0001,0.6750505169232687,0.6830923557281494
(((conv*3)bnorm-pool-dropout)*2)fc*0*128*lr-0.01,0.8139393925666809,0.8341758251190186
(((conv*3)pool-)*2)fc*0*128*lr-0.01,0.0997979814807574,0.0
(((conv*3)bnorm-pool-)*1)fc*0*128*lr-0.0001,0.6466666460037231,0.6433193683624268
(((conv*2)bnorm-)*3)fc*2*128*lr-0.1,0.1026262640953064,0.0
(((conv*1))*1)fc*1*64*lr-0.1,0.0961616188287735,0.0
(((conv*2)pool-)*3)fc*1*64*lr-0.01,0.0987878789504369,0.0
(((conv*1)pool-dropout)*3)fc*1*512*lr-0.001,0.7909091114997864,0.8007805943489075
(((conv*3)bnorm-pool-)*2)fc*2*512*lr-0.1,0.0981818214058876,0.0
(((conv*3)pool-dropout)*2)fc*2*256*lr-0.0001,0.7715151309967041,0.7786672115325928
(((conv*1))*3)fc*0*64*lr-0.001,0.632121205329895,0.6185115575790405
(((conv*3)pool-)*3)fc*2*64*lr-0.1,0.0997979814807574,0.0
(((conv*2))*3)fc*0*128*lr-0.0001,0.6763636469841003,0.6707566976547241
(((conv*3)bnorm-pool-dropout)*3)fc*0*128*lr-0.0001,0.841616133848826,0.845431923866272
(((conv*1)pool-)*2)fc*2*128*lr-0.001,0.6809090971946716,0.6843292713165283
(((conv*2)pool-)*3)fc*2*256*lr-0.0001,0.713939368724823,0.7089694142341614
(((conv*3)pool-)*2)fc*0*64*lr-0.1,0.09848485141992569,0.0
(((conv*3)bnorm-)*2)fc*0*256*lr-0.01,0.5684848427772522,0.5651137232780457
(((conv*3)bnorm-)*2)fc*2*64*lr-0.001,0.6922222177187601,0.711478590965271
(((conv*1)pool-dropout)*3)fc*1*256*lr-0.0001,0.7612121303876241,0.7819855213165283
(((conv*3)bnorm-pool-)*1)fc*2*256*lr-0.01,0.6591919263203939,0.6696456670761108
(((conv*1)bnorm-)*3)fc*1*512*lr-0.0001,0.6318181753158569,0.6491096019744873
(((conv*1)bnorm-pool-dropout)*2)fc*1*128*lr-0.01,0.7104040185610453,0.6991544961929321
(((conv*2)bnorm-)*3)fc*0*256*lr-0.01,0.6407070755958557,0.659820020198822
(((conv*1)bnorm-)*3)fc*0*256*lr-0.01,0.5383838415145874,0.5560849905014038
(((conv*3))*1)fc*0*256*lr-0.01,0.10121212154626846,0.0
(((conv*1)bnorm-pool-dropout)*2)fc*0*64*lr-0.01,0.6982828179995219,0.6867609024047852
(((conv*1)bnorm-pool-dropout)*3)fc*2*64*lr-0.0001,0.7618181904157003,0.7887132167816162
(((conv*2)pool-)*3)fc*2*512*lr-0.01,0.10151515404383342,0.0
(((conv*3)bnorm-)*2)fc*0*512*lr-0.01,0.6184848546981812,0.6228965520858765
(((conv*1)pool-)*3)fc*2*512*lr-0.0001,0.7090908885002136,0.7030166387557983
(((conv*1)pool-)*3)fc*1*256*lr-0.01,0.5675757527351379,0.5592769980430603
(((conv*2)bnorm-)*1)fc*0*128*lr-0.0001,0.5950505336125692,0.5970442891120911
(((conv*3)pool-)*3)fc*0*64*lr-0.0001,0.7397979895273844,0.742833137512207
(((conv*2)bnorm-pool-)*3)fc*1*256*lr-0.0001,0.6851515173912048,0.6953171491622925
(((conv*3)pool-dropout)*2)fc*1*128*lr-0.0001,0.7907070914904276,0.7962897419929504
(((conv*1)bnorm-pool-dropout)*1)fc*2*64*lr-0.1,0.0975757564107577,0.0
(((conv*1))*2)fc*2*128*lr-0.1,0.09676767885684967,0.0
(((conv*1))*3)fc*2*512*lr-0.01,0.4139393965403239,0.39714890718460083
(((conv*1)pool-dropout)*2)fc*1*512*lr-0.0001,0.7546464602152506,0.7639660239219666
(((conv*3))*1)fc*0*256*lr-0.0001,0.6472727060317993,0.645957887172699
(((conv*3)pool-)*1)fc*1*512*lr-0.1,0.0997979814807574,0.0
(((conv*1)bnorm-pool-)*1)fc*2*64*lr-0.1,0.10242424408594768,0.0
(((conv*1)pool-)*2)fc*2*512*lr-0.01,0.48121211926142377,0.4440600275993347
(((conv*1)bnorm-pool-dropout)*3)fc*0*64*lr-0.0001,0.7018181681632996,0.7106867432594299
(((conv*1)pool-dropout)*1)fc*2*128*lr-0.001,0.6469696958859762,0.6472553610801697
(((conv*2)bnorm-)*1)fc*0*128*lr-0.001,0.5821211934089661,0.5905805230140686
(((conv*2)pool-)*1)fc*2*256*lr-0.01,0.47171716888745624,0.4340558648109436
(((conv*3))*1)fc*2*512*lr-0.001,0.6381818056106567,0.6351104974746704
(((conv*3)pool-dropout)*1)fc*1*64*lr-0.1,0.10292929410934448,0.0
